acme_code;background_education;department_and_role;level_code;level_name;recruitment_code;recruitment_source_name;reason_dimissal_code;reason_dimissal_name
790;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
791;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
792;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
793;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
794;8|Graduate school;9| Commercial|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
795;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
796;8|Graduate school;13|Audit|11|Analyst;7;Senior;15;Website;#N/A;#N/A
797;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
798;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
799;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
800;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
801;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
802;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
803;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
804;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
805;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
806;8|Graduate school;9| Commercial|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
807;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
808;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
809;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
810;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
811;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
812;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
813;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
814;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
815;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
816;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
817;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
818;8|Graduate school;13|Audit|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
819;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
820;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;15;Website;#N/A;#N/A
821;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
822;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
823;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
824;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;13;Google;#N/A;#N/A
825;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
826;8|Graduate school;6|Administration|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
827;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
828;8|Graduate school;9| Commercial|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
829;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
830;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
831;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
832;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;13;Google;#N/A;#N/A
833;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
834;8|Graduate school;7|Finance|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
835;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
836;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
837;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
838;8|Graduate school;6|Administration|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
839;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
840;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
841;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
842;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
843;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
844;8|Graduate school;5| Presidency|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
845;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
846;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
847;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
848;8|Graduate school;12|Controlling|11|Analyst;5;Junior;15;Website;#N/A;#N/A
849;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
850;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
851;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
852;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
853;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
854;8|Graduate school;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
855;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
856;8|Graduate school;6|Administration|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
857;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
858;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
859;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
860;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
861;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
862;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
863;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
864;7|Undergraduate degree;5| Presidency|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
865;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
866;7|Undergraduate degree;9| Commercial|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
867;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
868;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
869;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
870;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
871;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
872;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
873;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
874;8|Graduate school;5| Presidency|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
875;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
876;8|Graduate school;7|Finance|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
877;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
878;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
879;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
880;8|Graduate school;9| Commercial|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
881;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
882;8|Graduate school;7|Finance|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
883;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
884;8|Graduate school;11|Communication & Marketing|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
885;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
886;8|Graduate school;5| Presidency|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
887;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;7;SAPO Emprego;12;medical issues
888;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
889;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
890;8|Graduate school;8|Human Resource|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
891;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
892;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;15;Website;#N/A;#N/A
893;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
894;8|Graduate school;6|Administration|11|Analyst;7;Senior;5;Indeed;#N/A;#N/A
895;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
896;7|Undergraduate degree;13|Audit|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
897;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
898;8|Graduate school;7|Finance|11|Analyst;6;Pleno;11;Next Station;#N/A;#N/A
899;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
900;8|Graduate school;5| Presidency|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
901;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
902;7|Undergraduate degree;7|Finance|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
903;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
904;8|Graduate school;7|Finance|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
905;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
906;8|Graduate school;10|Operations|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
907;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
908;8|Graduate school;6|Administration|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
909;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
910;8|Graduate school;12|Controlling|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
911;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
912;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
913;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
914;8|Graduate school;7|Finance|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
915;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
916;8|Graduate school;10|Operations|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
917;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
918;8|Graduate school;8|Human Resource|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
919;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
920;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
921;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
922;8|Graduate school;13|Audit|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
923;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
924;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
925;7|Undergraduate degree;9| Commercial|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
926;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
927;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
928;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
929;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
930;7|Undergraduate degree;13|Audit|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
931;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
932;8|Graduate school;5| Presidency|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
933;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
934;8|Graduate school;8|Human Resource|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
935;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
936;7|Undergraduate degree;5| Presidency|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
937;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
938;8|Graduate school;12|Controlling|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
939;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
940;7|Undergraduate degree;6|Administration|11|Analyst;6;Pleno;5;Indeed;#N/A;#N/A
941;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
942;8|Graduate school;12|Controlling|11|Analyst;5;Junior;10;Jobs in Lisbon;#N/A;#N/A
943;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
944;7|Undergraduate degree;8|Human Resource|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
945;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
946;7|Undergraduate degree;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
947;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
948;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;6;Learn4Good;#N/A;#N/A
949;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
950;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
951;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
952;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
953;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
954;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;11;Next Station;#N/A;#N/A
955;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
956;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
957;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
958;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
959;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
960;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
961;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
962;7|Undergraduate degree;13|Audit|11|Analyst;6;Pleno;10;Jobs in Lisbon;#N/A;#N/A
963;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
964;8|Graduate school;12|Controlling|11|Analyst;7;Senior;9;Empregos Online;#N/A;#N/A
965;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
966;8|Graduate school;9| Commercial|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
967;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
968;7|Undergraduate degree;8|Human Resource|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
969;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
970;8|Graduate school;6|Administration|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
971;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
972;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
973;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
974;7|Undergraduate degree;10|Operations|11|Analyst;5;Junior;5;Indeed;#N/A;#N/A
975;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
976;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
977;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
978;7|Undergraduate degree;13|Audit|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
979;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
980;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;8;Net Empregos;#N/A;#N/A
981;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;5;Indeed;#N/A;#N/A
982;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
983;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
984;7|Undergraduate degree;12|Controlling|11|Analyst;5;Junior;8;Net Empregos;#N/A;#N/A
985;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
986;7|Undergraduate degree;5| Presidency|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
987;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;15;Website;#N/A;#N/A
988;8|Graduate school;7|Finance|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
989;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
990;8|Graduate school;6|Administration|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
991;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
992;7|Undergraduate degree;12|Controlling|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
993;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
994;8|Graduate school;11|Communication & Marketing|11|Analyst;6;Pleno;9;Empregos Online;#N/A;#N/A
995;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;5;Indeed;#N/A;#N/A
996;7|Undergraduate degree;7|Finance|11|Analyst;5;Junior;14;LinkedIn;#N/A;#N/A
997;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
998;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;9;Empregos Online;5;None
999;7|Undergraduate degree;5| Presidency|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
1000;7|Undergraduate degree;10|Operations|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
1001;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
1002;8|Graduate school;12|Controlling|11|Analyst;7;Senior;7;SAPO Emprego;#N/A;#N/A
1003;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;15;Website;#N/A;#N/A
1004;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
1005;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
1006;8|Graduate school;5| Presidency|11|Analyst;7;Senior;14;LinkedIn;#N/A;#N/A
1007;7|Undergraduate degree;7|Finance|10|Trainee;#N/A;#N/A;10;Jobs in Lisbon;#N/A;#N/A
1008;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
1009;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
1010;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;15;Website;#N/A;#N/A
1011;7|Undergraduate degree;6|Administration|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
1012;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;15;Website;#N/A;#N/A
1013;7|Undergraduate degree;11|Communication & Marketing|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
1014;8|Graduate school;9| Commercial|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
1015;7|Undergraduate degree;13|Audit|10|Trainee;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
1016;7|Undergraduate degree;11|Communication & Marketing|11|Analyst;5;Junior;6;Learn4Good;#N/A;#N/A
1017;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
1018;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;9;Empregos Online;#N/A;#N/A
1019;7|Undergraduate degree;12|Controlling|10|Trainee;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
1020;8|Graduate school;5| Presidency|11|Analyst;7;Senior;13;Google;#N/A;#N/A
1021;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;13;Google;#N/A;#N/A
1022;8|Graduate school;6|Administration|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
1023;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
1024;7|Undergraduate degree;9| Commercial|11|Analyst;5;Junior;7;SAPO Emprego;#N/A;#N/A
1025;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;14;LinkedIn;#N/A;#N/A
1026;8|Graduate school;6|Administration|11|Analyst;5;Junior;15;Website;#N/A;#N/A
1027;7|Undergraduate degree;9| Commercial|9|Intern;#N/A;#N/A;8;Net Empregos;#N/A;#N/A
1028;8|Graduate school;6|Administration|11|Analyst;6;Pleno;13;Google;#N/A;#N/A
1029;7|Undergraduate degree;10|Operations|10|Trainee;#N/A;#N/A;11;Next Station;#N/A;#N/A
1030;7|Undergraduate degree;13|Audit|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
1031;7|Undergraduate degree;11|Communication & Marketing|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
1032;7|Undergraduate degree;9| Commercial|11|Analyst;7;Senior;12; recommendation of employee;#N/A;#N/A
1033;7|Undergraduate degree;10|Operations|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
1034;7|Undergraduate degree;10|Operations|11|Analyst;7;Senior;10;Jobs in Lisbon;#N/A;#N/A
1035;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
1036;7|Undergraduate degree;7|Finance|11|Analyst;6;Pleno;7;SAPO Emprego;#N/A;#N/A
1037;7|Undergraduate degree;6|Administration|10|Trainee;#N/A;#N/A;6;Learn4Good;#N/A;#N/A
1038;7|Undergraduate degree;7|Finance|11|Analyst;7;Senior;8;Net Empregos;#N/A;#N/A
1039;7|Undergraduate degree;13|Audit|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
1040;8|Graduate school;11|Communication & Marketing|11|Analyst;7;Senior;6;Learn4Good;#N/A;#N/A
1041;7|Undergraduate degree;8|Human Resource|10|Trainee;#N/A;#N/A;12; recommendation of employee;#N/A;#N/A
1042;8|Graduate school;6|Administration|11|Analyst;7;Senior;11;Next Station;#N/A;#N/A
1043;7|Undergraduate degree;7|Finance|9|Intern;#N/A;#N/A;7;SAPO Emprego;#N/A;#N/A
1044;8|Graduate school;7|Finance|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
1045;7|Undergraduate degree;12|Controlling|9|Intern;#N/A;#N/A;11;Next Station;#N/A;#N/A
1046;7|Undergraduate degree;12|Controlling|11|Analyst;6;Pleno;14;LinkedIn;#N/A;#N/A
1047;7|Undergraduate degree;5| Presidency|9|Intern;#N/A;#N/A;13;Google;#N/A;#N/A
1048;8|Graduate school;6|Administration|11|Analyst;6;Pleno;12; recommendation of employee;#N/A;#N/A
1049;7|Undergraduate degree;8|Human Resource|9|Intern;#N/A;#N/A;9;Empregos Online;#N/A;#N/A
1050;8|Graduate school;13|Audit|11|Analyst;5;Junior;12; recommendation of employee;#N/A;#N/A
